order_id,customer_id,order_date,status,region_code
1,345,08-05-2026 15:14:57,PLACED,WEST
2,69,2026-02-10 15:14:57,DELIVERED,NORTH
3,206,2026-05-21 15:14:57,RETURNED,EAST
4,38,2026-03-25 15:14:57,DELIVERED,NORTH
5,66,2026-02-24 15:14:57,DELIVERED,EAST
6,387,2026-06-11 15:14:57,RETURNED,NORTH
7,,2026-08-07 15:14:57,CANCELLED,WEST
8,77,2026-04-27 15:14:57,RETURNED,EAST
9,84,2026-06-18 15:14:57,DELIVERED,EAST
10,260,2026-05-06 15:14:57,RETURNED,EAST
11,244,2026-02-11 15:14:57,PLACED,WEST
12,299,2026-07-25 15:14:57,RETURNED,WEST
13,136,2026-05-30 15:14:57,PLACED,WEST
14,88,2026-06-20 15:14:57,CANCELLED,SOUTH
15,421,2025-08-23 15:14:57,PLACED,SOUTH
16,10,2026-03-09 15:14:57,SHIPPED,WEST
17,257,2026-04-05 15:14:57,PLACED,SOUTH
18,266,2026-01-20 15:14:57,CANCELLED,WEST
19,161,2026-03-30 15:14:57,DELIVERED,EAST
20,347,2026-07-21 15:14:57,DELIVERED,WEST
21,99,2025-12-27 15:14:57,SHIPPED,EAST
22,395,2025-11-21 15:14:57,CANCELLED,EAST
23,246,2025-12-25 15:14:57,RETURNED,WEST
24,459,2026-01-30 15:14:57,SHIPPED,EAST
25,22,2026-08-07 15:14:57,CANCELLED,EAST
26,383,2025-11-18 15:14:57,DELIVERED,EAST
27,71,2026-06-03 15:14:57,PLACED,SOUTH
28,327,2025-09-27 15:14:57,CANCELLED,NORTH
29,349,2025-08-09 15:14:57,SHIPPED,WEST
30,335,2026-04-07 15:14:57,SHIPPED,EAST
31,165,2025-09-06 15:14:57,PLACED,SOUTH
32,274,2025-08-26 15:14:57,SHIPPED,WEST
33,452,2025-08-25 15:14:57,CANCELLED,WEST
34,96,2026-01-02 15:14:57,PLACED,EAST
35,291,2026-01-25 15:14:57,RETURNED,WEST
36,456,2026-04-22 15:14:57,SHIPPED,NORTH
37,170,2026-03-29 15:14:57,SHIPPED,NORTH
38,378,2026-01-05 15:14:57,SHIPPED,SOUTH
39,313,2026-03-02 15:14:57,RETURNED,EAST
40,45,2025-09-24 15:14:57,SHIPPED,WEST
41,166,2025-08-10 15:14:57,SHIPPED,WEST
42,386,2026-01-22 15:14:57,RETURNED,NORTH
43,134,2026-07-27 15:14:57,PLACED,WEST
44,158,2026-07-24 15:14:57,DELIVERED,NORTH
45,328,2026-01-05 15:14:57,SHIPPED,SOUTH
46,491,2025-10-24 15:14:57,RETURNED,EAST
47,213,2026-04-05 15:14:57,SHIPPED,SOUTH
48,349,2025-09-17 15:14:57,RETURNED,EAST
49,40,2025-10-03 15:14:57,RETURNED,SOUTH
